Date,BAC,BCS,C,DB,GS,ICLN,JPM,MS,XLE,SP500,US10Y,VIX
2018-01-02,24.776775360107422,8.380319595336914,56.874507904052734,16.866777420043945,214.2659454345703,8.423617362976074,86.34089660644531,41.064857482910156,25.915483474731445,2695.81005859375,2.4649999141693115,9.770000457763672
2018-01-03,24.693906784057617,8.349929809570312,57.05042266845703,16.718441009521484,212.27142333984375,8.405805587768555,86.42889404296875,41.175025939941406,26.303600311279297,2713.06005859375,2.447000026702881,9.149999618530273
2018-01-04,25.017086029052734,8.395514488220215,57.75408935546875,17.250713348388672,215.23809814453125,8.343476295471191,87.66700744628906,41.80448532104492,26.462379455566406,2723.989990234375,2.453000068664551,9.220000267028809
2018-01-05,25.13309669494629,8.182780265808105,57.677616119384766,16.186172485351562,214.14024353027344,8.370190620422363,87.10423278808594,41.788753509521484,26.451791763305664,2743.14990234375,2.4760000705718994,9.220000267028809
2018-01-08,24.95907974243164,8.23596477508545,57.004539489746094,15.96803092956543,211.0310821533203,8.494851112365723,87.23285675048828,41.61565017700195,26.61056900024414,2747.7099609375,2.4800000190734863,9.520000457763672
2018-01-09,25.0833797454834,8.28914737701416,57.60112762451172,15.819695472717285,212.81610107421875,8.477042198181152,87.67505645751953,41.93825149536133,26.54353141784668,2751.2900390625,2.5460000038146973,10.079999923706055
2018-01-10,25.315404891967773,8.25115966796875,57.861175537109375,16.142545700073242,213.14297485351562,8.459234237670898,88.63985443115234,42.433956146240234,26.511775970458984,2748.22998046875,2.549999952316284,9.819999694824219
2018-01-11,25.406551361083984,8.114400863647461,57.79234313964844,16.19489860534668,213.81344604492188,8.628417015075684,89.11421203613281,42.64640808105469,27.05513572692871,2767.56005859375,2.5309998989105225,9.880000114440918
2018-01-12,25.84573745727539,8.167583465576172,58.7713508605957,16.317062377929688,215.40573120117188,8.601703643798828,90.58549499511719,43.37029266357422,27.316221237182617,2786.239990234375,2.552000045776367,10.15999984741211
2018-01-16,25.887174606323242,8.32713794708252,58.97786331176758,16.151273727416992,216.6041717529297,8.566088676452637,90.26390075683594,42.961143493652344,26.970458984375,2776.419921875,2.5439999103546143,11.65999984741211
2018-01-17,25.837451934814453,8.395514488220215,59.253196716308594,16.159996032714844,212.5731201171875,8.619514465332031,90.84278106689453,43.55125427246094,27.206850051879883,2802.56005859375,2.578000068664551,11.90999984741211
2018-01-18,26.08605194091797,8.410713195800781,59.1920280456543,16.168724060058594,210.32711791992188,8.557184219360352,91.05986022949219,43.93680953979492,26.984569549560547,2798.030029296875,2.6110000610351562,12.220000267028809
2018-01-19,26.28492546081543,8.463897705078125,59.88803482055664,16.386865615844727,214.64308166503906,8.574991226196289,90.8588638305664,45.21147918701172,26.949289321899414,2810.300048828125,2.63700008392334,11.270000457763672
2018-01-22,26.467233657836914,8.919761657714844,60.10984420776367,16.91913414001465,219.1686248779297,8.574991226196289,91.92011260986328,45.13280487060547,27.53145980834961,2832.969970703125,2.6649999618530273,11.029999732971191
2018-01-23,26.450658798217773,8.919761657714844,60.079246520996094,16.98893928527832,217.97019958496094,8.54827880859375,91.82363891601562,44.77872848510742,27.489124298095703,2839.1298828125,2.624000072479248,11.100000381469727
2018-01-24,26.591529846191406,9.010934829711914,60.76761245727539,17.224531173706055,222.65489196777344,8.51266098022461,92.9974594116211,45.03838348388672,27.41502571105957,2837.5400390625,2.6540000438690186,11.470000267028809
2018-01-25,26.591529846191406,9.010934829711914,60.759971618652344,17.13727378845215,225.46238708496094,8.539374351501465,93.02157592773438,44.700035095214844,27.199796676635742,2839.25,2.621000051498413,11.579999923706055
2018-01-26,26.682680130004883,9.048924446105957,61.24946975708008,17.023845672607422,224.7165069580078,8.539374351501465,93.52005004882812,45.3216438293457,27.347986221313477,2872.8701171875,2.6619999408721924,11.079999923706055
2018-01-29,26.748966217041016,8.881772994995117,61.157684326171875,16.66609001159668,228.353759765625,8.51266098022461,93.4235610961914,45.20360565185547,26.935171127319336,2853.530029296875,2.6989998817443848,13.84000015258789
2018-01-30,26.417516708374023,8.653841018676758,60.13279724121094,16.037837982177734,225.38705444335938,8.51266098022461,92.54723358154297,44.729454040527344,26.391809463500977,2822.429931640625,2.7260000705718994,14.789999961853027
2018-01-31,26.516948699951172,8.63864517211914,60.025691986083984,16.0029354095459,224.50706481933594,8.521562576293945,92.9974594116211,44.689937591552734,26.409448623657227,2823.81005859375,2.7200000286102295,13.539999961853027
2018-02-01,26.931278228759766,8.631047248840332,60.5764045715332,16.2734317779541,228.14419555664062,8.477042198181152,93.9622802734375,45.401187896728516,26.68113136291504,2821.97998046875,2.7730000019073486,13.470000267028809
2018-02-02,26.475521087646484,8.334733009338379,59.148006439208984,14.912223815917969,217.9282989501953,8.290048599243164,91.87992095947266,43.84434509277344,25.566186904907227,2762.1298828125,2.8540000915527344,17.309999465942383
2018-02-05,25.075092315673828,7.992835998535156,56.26817321777344,14.301421165466309,208.76834106445312,8.031818389892578,87.47405242919922,41.52885437011719,24.493572235107422,2648.93994140625,2.7939999103546143,37.31999969482422
2018-02-06,25.854032516479492,8.129594802856445,57.45850372314453,14.414857864379883,216.80528259277344,8.103055000305176,90.1352767944336,42.93553161621094,24.687637329101562,2695.139892578125,2.7679998874664307,29.979999542236328
2018-02-07,25.895456314086914,8.068812370300293,57.58906555175781,14.039652824401855,215.4644012451172,8.058533668518066,90.74629211425781,43.10939025878906,24.27481460571289,2681.659912109375,2.8440001010894775,27.729999542236328
2018-02-08,24.64419174194336,8.121994972229004,55.19303512573242,13.51611042022705,206.45530700683594,7.844827175140381,86.73439025878906,40.9282341003418,23.540935516357422,2581.0,2.8510000705718994,33.459999084472656
2018-02-09,25.13309669494629,8.167583465576172,56.58301544189453,13.594639778137207,208.92755126953125,7.8804450035095215,88.47100067138672,41.204833984375,23.523290634155273,2619.550048828125,2.8289999961853027,29.059999465942383
2018-02-12,25.787734985351562,8.205574035644531,57.41243362426758,13.969846725463867,212.1624755859375,8.022915840148926,89.83780670166016,42.22426986694336,23.90787696838379,2656.0,2.8570001125335693,25.610000610351562
2018-02-13,25.837451934814453,8.243560791015625,57.7349739074707,13.87386417388916,214.14865112304688,8.129767417907715,90.39253997802734,42.19267272949219,23.809083938598633,2662.93994140625,2.8399999141693115,24.969999313354492
2018-02-14,26.516948699951172,8.456298828125,58.909942626953125,14.187989234924316,220.05690002441406,8.23662281036377,92.48291015625,43.50452423095703,24.15485382080078,2698.6298828125,2.9130001068115234,19.260000228881836
2018-02-15,26.69097137451172,8.562666893005371,59.194087982177734,14.057104110717773,224.3310089111328,8.414711952209473,92.86882781982422,43.781124114990234,24.094877243041992,2731.199951171875,2.8910000324249268,19.1299991607666
2018-02-16,26.492090225219727,8.60825252532959,58.99440002441406,14.030926704406738,224.2807159423828,8.450329780578613,92.20152282714844,43.57564926147461,24.034894943237305,2732.219970703125,2.877000093460083,19.459999084472656
2018-02-20,26.45894432067871,8.570263862609863,58.71794891357422,14.362502098083496,221.9928741455078,8.414711952209473,92.2256088256836,43.51243209838867,23.904354095458984,2716.260009765625,2.8929998874664307,20.600000381469727
2018-02-21,26.409223556518555,8.60825252532959,59.13264083862305,14.458484649658203,220.74417114257812,8.459234237670898,92.61155700683594,43.54403305053711,23.502120971679688,2701.330078125,2.943000078201294,20.020000457763672
2018-02-22,26.260066986083984,8.874175071716309,58.572044372558594,14.336326599121094,219.09317016601562,8.477042198181152,92.4427261352539,43.3543701171875,23.759681701660156,2703.9599609375,2.9170000553131104,18.719999313354492
2018-02-23,26.541807174682617,8.904566764831543,59.194087982177734,14.336326599121094,223.56837463378906,8.423617362976074,94.31599426269531,44.31060028076172,24.27481460571289,2747.300048828125,2.871000051498413,16.489999771118164
2018-02-26,26.864990234375,8.904566764831543,59.63181686401367,14.379955291748047,227.33132934570312,8.530468940734863,95.48982238769531,45.05345153808594,24.41948699951172,2779.60009765625,2.8589999675750732,15.800000190734863
2018-02-27,26.790414810180664,8.904566764831543,58.65651321411133,14.310148239135742,224.54054260253906,8.405805587768555,94.356201171875,44.82427978515625,24.10193634033203,2744.280029296875,2.9079999923706055,18.59000015258789
2018-02-28,26.599809646606445,8.927359580993652,57.973026275634766,13.90876579284668,220.96876525878906,8.334569931030273,92.86078643798828,44.27107620239258,23.547985076904297,2713.830078125,2.868000030517578,19.850000381469727
2018-03-01,26.18393898010254,8.874435424804688,56.56767272949219,13.699350357055664,215.80026245117188,8.281144142150879,91.19654846191406,43.061973571777344,23.512706756591797,2677.669921875,2.803999900817871,22.469999313354492
2018-03-02,26.308696746826172,8.836084365844727,56.58301544189453,13.777881622314453,216.92645263671875,8.334569931030273,91.10810089111328,43.25954818725586,23.622085571289062,2691.25,2.8570001125335693,19.59000015258789
2018-03-05,26.724580764770508,8.912787437438965,57.15131378173828,13.865138053894043,221.12847900390625,8.361283302307129,92.50703430175781,43.852256774902344,23.872591018676758,2720.93994140625,2.88100004196167,18.729999542236328
