Date,JPM,GS,MS,BAC,C,DB,BCS
2018-01-03,0.0132413979873725,0.01631478583847414,0.01637223473589774,0.014183072769776256,0.013564776167191296,0.025141818652774327,0.01664792925185284
2018-01-04,0.012683981144120126,0.015932752808684007,0.015671612319174518,0.01366639787021527,0.013060688684205131,0.024525938606633924,0.016247773071721986
2018-01-05,0.01293703042472774,0.015844910706523545,0.015891259710840596,0.01398380133472131,0.013413688202933172,0.02500107476321618,0.015952424356162967
2018-01-08,0.012640952101322758,0.015323036420325942,0.015269149179048775,0.013490609631339148,0.012916189958968207,0.028663854841261084,0.017540281889014697
2018-01-09,0.012147566672401354,0.015457497182473022,0.014857262796232498,0.013352856774535347,0.013369118187969369,0.0279228119708584,0.017125564897182456
2018-01-10,0.011783668614533125,0.015078961644046138,0.014617952954322158,0.012997425872807007,0.013428441663638283,0.027130577741859847,0.016758982597492873
2018-01-11,0.011843793019618245,0.014547154213495828,0.014726284264126538,0.01302764513460933,0.01300268932272603,0.026732545460627644,0.01636887830050561
2018-01-12,0.011526047286626684,0.014092396334839446,0.014386259146926988,0.01267969282413011,0.012573948820535832,0.02593430847096501,0.0167936393109248
2018-01-16,0.012242647187422892,0.013827389993853644,0.015107361969333266,0.013898739094540985,0.013761995709050479,0.025239042725642747,0.016471288087424808
2018-01-17,0.011880186964878,0.013517478566074879,0.015060582839151862,0.013342186142796779,0.013237563462579777,0.024646873066180488,0.017176867358268653
2018-01-18,0.0116063377028585,0.014395718934571942,0.015253871020538368,0.012930320010190397,0.012853180667293441,0.02397270600708841,0.016879659953245574
2018-01-19,0.011234203488380577,0.014334523171520447,0.01500230620015922,0.013012350569410573,0.012447739403259111,0.023343544698979018,0.016425898381493075
2018-01-22,0.010941117665703071,0.01513883313579401,0.017471695372036754,0.012895574618745744,0.012863874130625032,0.022979214737897366,0.016140000578609835
2018-01-23,0.011193841713671947,0.015864710421464156,0.016592745862234887,0.012751145768447708,0.012504267210950194,0.023676243988440513,0.022822574457964456
2018-01-24,0.01087669786940446,0.015353488785424052,0.01613049959083945,0.012422764640934529,0.012152870442436826,0.02308740765122421,0.021735211223535344
2018-01-25,0.011256494498853886,0.01608914967858989,0.015555426286225365,0.01227406993224081,0.012597559653358046,0.022755548193998783,0.021003621122649852
2018-01-26,0.010915448646309096,0.01588057020978862,0.015271625760030643,0.012032618164681779,0.012225467761786908,0.022242584041578594,0.020095852391428214
2018-01-29,0.010709935435535183,0.015304209752828759,0.015435388525967611,0.011880536299980477,0.012274271676344407,0.021790237685318913,0.019328294296392136
2018-01-30,0.010449307940941888,0.015491469444939333,0.014938845933185486,0.011734115459070145,0.011983622635224442,0.021907035736318817,0.019483215071593486
2018-01-31,0.010743907673214816,0.015469649710328416,0.015021829907273774,0.012700567697442705,0.013548491836410317,0.02330089623775106,0.020419998397027666
2018-02-01,0.010539038939537894,0.014951863161486879,0.014565597485558291,0.012423408495634176,0.013038849946901788,0.022723080580673995,0.01957839996872084
2018-02-02,0.010729025153198912,0.015193195943454607,0.015112683229565058,0.013432657805263754,0.013029252730260087,0.022535306284130946,0.018818776697723364
2018-02-05,0.012927294225347883,0.02031270478780946,0.01922781640611271,0.01471288193242182,0.015771527539735337,0.030306485238923108,0.021179681772055998
2018-02-06,0.020515284870186435,0.02335679096350704,0.026373532945042046,0.02565610760277191,0.024671557799583167,0.030931598136544967,0.02413119725801518
2018-02-07,0.021491710536142673,0.024798176094151997,0.026655477458006404,0.02600445101421378,0.02390783542902253,0.029923928602971158,0.02353746878824232
2018-02-08,0.020266781697248267,0.02344886919638867,0.024392599893745866,0.02356893421377112,0.021883310520708386,0.02959500603254401,0.02250163800570431
2018-02-09,0.024289468057366728,0.025730606355336548,0.02902248235777132,0.02908472409216994,0.026199747765040575,0.030011737426349126,0.02154762905275515
2018-02-12,0.023564719516926243,0.02446535677469384,0.026491612150987318,0.027239248073086187,0.025698712230173414,0.029032599130724878,0.020663094708674324
2018-02-13,0.02257268350968332,0.02349973150271908,0.025588674035717688,0.026478526863504822,0.02406807037886281,0.028819686060794707,0.019845884191533856
2018-02-14,0.021235793532429013,0.02233760972772012,0.023455435396394258,0.023979847186626574,0.022101811302338997,0.02792902610781914,0.01911442127204184
2018-02-15,0.02119162892116841,0.022629838222405628,0.023990155132465642,0.023927489340169063,0.02170252542159326,0.027565319139702914,0.020079550215579705
2018-02-16,0.01993042595509452,0.022130850088445998,0.02216060246536939,0.02189448420681488,0.02002701743574502,0.026795206670910936,0.01966863251065919
